epoch,epoch_loss,split,loss,acc,sample_fn
0,2.2658417,train,1.8493453,0.35737046669143496,gumbel_soft
0,2.2658417,val,1.841684,0.36281530223856523,gumbel_soft
0,2.2658417,test,1.8690975,0.3407879490150637,gumbel_soft
1,1.5915031,train,1.3573034,0.4935483410019719,gumbel_soft
1,1.5915031,val,1.3639523,0.4931294755177085,gumbel_soft
1,1.5915031,test,1.34432,0.5026071842410197,gumbel_soft
2,1.2367096,train,1.1143014,0.562651824754937,gumbel_soft
2,1.2367096,val,1.1101791,0.5625443519772918,gumbel_soft
2,1.2367096,test,1.1117113,0.5608922363847045,gumbel_soft
3,1.0404513,train,0.9564722,0.6286616558543625,gumbel_soft
3,1.0404513,val,0.96775186,0.62944326172505,gumbel_soft
3,1.0404513,test,0.942105,0.6382966396292005,gumbel_soft
4,0.9019321,train,0.8460037,0.6757809150924523,gumbel_soft
4,0.9019321,val,0.8230142,0.6875685439649055,gumbel_soft
4,0.9019321,test,0.86401486,0.6662804171494786,gumbel_soft
5,0.7873271,train,0.72850865,0.7205352805007001,gumbel_soft
5,0.7873271,val,0.72491956,0.7297593703632024,gumbel_soft
5,0.7873271,test,0.74664795,0.7161066048667439,gumbel_soft
6,0.6990183,train,0.6479419,0.7529007459060901,gumbel_soft
6,0.6990183,val,0.6898668,0.7374362944326173,gumbel_soft
6,0.6990183,test,0.65677285,0.754577056778679,gumbel_soft
7,0.6357241,train,0.5954016,0.7750707324740648,gumbel_soft
7,0.6357241,val,0.58450276,0.7811754080381911,gumbel_soft
7,0.6357241,test,0.606108,0.7734067207415991,gumbel_soft
8,0.5782305,train,0.54405403,0.7889171501243177,gumbel_soft
8,0.5782305,val,0.5457447,0.7945938971679246,gumbel_soft
8,0.5782305,test,0.5503652,0.7954808806488992,gumbel_soft
9,0.527276,train,0.5031351,0.8079649052613529,gumbel_soft
9,0.527276,val,0.4986545,0.815237726598284,gumbel_soft
9,0.527276,test,0.50424916,0.8140208574739282,gumbel_soft
10,0.48671716,train,0.47639498,0.8210539853105084,gumbel_soft
10,0.48671716,val,0.44718564,0.8366556996322818,gumbel_soft
10,0.48671716,test,0.51355696,0.8101390498261877,gumbel_soft
11,0.44194812,train,0.41956463,0.8455245634591753,gumbel_soft
11,0.44194812,val,0.42092702,0.843106896329269,gumbel_soft
11,0.44194812,test,0.41045624,0.8472190034762457,gumbel_soft
12,0.41976827,train,0.39419812,0.8550198622502929,gumbel_soft
12,0.41976827,val,0.37793544,0.8678149796787304,gumbel_soft
12,0.41976827,test,0.40455958,0.8487253765932793,gumbel_soft
13,0.39087725,train,0.37341902,0.8611571546969221,gumbel_soft
13,0.39087725,val,0.36781567,0.8673633959099413,gumbel_soft
13,0.39087725,test,0.3773128,0.8518539976825029,gumbel_soft
14,0.3808239,train,0.374588,0.8597353605212769,gumbel_soft
14,0.3808239,val,0.37406954,0.8618153667505323,gumbel_soft
14,0.3808239,test,0.36384344,0.8694669756662804,gumbel_soft
15,0.35330728,train,0.3442187,0.8715598296704867,gumbel_soft
15,0.35330728,val,0.3416831,0.8759434875169344,gumbel_soft
15,0.35330728,test,0.3571348,0.8690614136732329,gumbel_soft
16,0.33985803,train,0.32277048,0.8840559000885942,gumbel_soft
16,0.33985803,val,0.3227695,0.8824591961808915,gumbel_soft
16,0.33985803,test,0.3157366,0.8819235225955968,gumbel_soft
17,0.32256877,train,0.3192757,0.8822625818067503,gumbel_soft
17,0.32256877,val,0.31108987,0.8882007612412103,gumbel_soft
17,0.32256877,test,0.3188396,0.8754924681344148,gumbel_soft
18,0.3136827,train,0.30002525,0.8930153468034637,gumbel_soft
18,0.3136827,val,0.28237265,0.9001354751306367,gumbel_soft
18,0.3136827,test,0.27925,0.9019119351100812,gumbel_soft
19,0.3014122,train,0.3000572,0.8884213083364294,gumbel_soft
19,0.3014122,val,0.29790643,0.8887168569769692,gumbel_soft
19,0.3014122,test,0.30130094,0.8815179606025493,gumbel_soft
20,0.29999,train,0.29860562,0.8892643822697265,gumbel_soft
20,0.29999,val,0.28413957,0.8968453648151732,gumbel_soft
20,0.29999,test,0.30619362,0.8876013904982619,gumbel_soft
21,0.28638697,train,0.2778729,0.896787745420251,gumbel_soft
21,0.28638697,val,0.30568793,0.8846526030578672,gumbel_soft
21,0.28638697,test,0.26914918,0.8979721900347625,gumbel_soft
22,0.274606,train,0.26915944,0.9019605041296334,gumbel_soft
22,0.274606,val,0.2827362,0.8961357331785046,gumbel_soft
22,0.274606,test,0.26932114,0.9096176129779838,gumbel_soft
23,0.27591062,train,0.27109557,0.8967020090880512,gumbel_soft
